id,date,source,language,country,topic_category,topic_subcategory,headline,short_text,sentiment,engagement_score,trend_score
trend_00140,2026-02-13,news_api,hi,IN,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from IN are actively discussing bollywood within the broader category of entertainment across multiple platforms.,positive,8603,0.543
trend_00141,2026-02-08,google_trends,hi,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,neutral,7407,0.261
trend_00142,2026-02-28,google_trends,hi,GB,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from GB are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,4224,0.202
trend_00143,2026-02-19,google_trends,hi,US,global_events,elections,Global attention shifts towards elections developments,Users from US are actively discussing elections within the broader category of global events across multiple platforms.,neutral,995,0.17
trend_00144,2026-02-23,google_trends,en,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,positive,526,0.929
trend_00145,2026-02-11,news_api,hi,GB,sports,esports,Record engagement for recent esports matches,Users from GB are actively discussing esports within the broader category of sports across multiple platforms.,positive,1605,0.141
trend_00146,2026-02-15,news_api,hi,GB,entertainment,music_releases,Fans react to latest music releases news on social media,Users from GB are actively discussing music releases within the broader category of entertainment across multiple platforms.,negative,1643,0.203
trend_00147,2026-02-10,news_api,ur,IN,economy,crypto,Crypto remains a key concern for young professionals,Users from IN are actively discussing crypto within the broader category of economy across multiple platforms.,negative,9618,0.677
trend_00148,2026-02-06,news_api,hi,PK,sports,cricket,Record engagement for recent cricket matches,Users from PK are actively discussing cricket within the broader category of sports across multiple platforms.,negative,8570,0.356
trend_00149,2026-02-23,social_media_stream,ur,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,negative,8872,0.84
trend_00150,2026-02-13,news_api,ur,IN,economy,inflation,Inflation remains a key concern for young professionals,Users from IN are actively discussing inflation within the broader category of economy across multiple platforms.,negative,9428,0.251
trend_00151,2026-02-06,news_api,hi,GB,economy,inflation,Inflation remains a key concern for young professionals,Users from GB are actively discussing inflation within the broader category of economy across multiple platforms.,negative,1297,0.341
